id,name,email
1,Prime Services,primeservices@example.com
2,Acme Corporation,acmecorporation@example.com
3,Vertex Technologies,vertextechnologies@example.com
4,Nexus Systems,nexussystems@example.com
5,Elite Enterprises 1,eliteenterprises1@example.com
6,Pinnacle Systems 1,pinnaclesystems1@example.com
7,Tech Innovations,techinnovations@example.com
8,Titan Enterprises,titanenterprises@example.com
9,Catalyst Corp,catalystcorp@example.com
10,Global Solutions Inc,globalsolutionsinc@example.com
